id_contrainte|id_sous_question|reponse
1|1|toujours
1|1|souvent
1|2|toujours
1|2|souvent
1|3|parfois
1|3|jamais
2|1|parfois
2|1|jamais
2|2|parfois
2|2|jamais
2|3|parfois
2|3|jamais
3|1|toujours
3|1|souvent
3|2|parfois
3|2|jamais
3|3|toujours
3|3|souvent
4|1|toujours
4|1|souvent
4|2|toujours
4|2|souvent
4|3|toujours
4|3|souvent
5|1|parfois
5|1|jamais
5|2|toujours
5|2|souvent
5|3|toujours
5|3|souvent
6|1|parfois
6|1|jamais
6|2|parfois
6|2|jamais
6|3|toujours
6|3|souvent
7|1|toujours
7|1|souvent
7|2|parfois
7|2|jamais
7|3|parfois
7|3|jamais
8|1|parfois
8|1|jamais
8|2|toujours
8|2|souvent
8|3|parfois
8|3|jamais
9|4|toujours
9|4|souvent
9|5|parfois
9|5|jamais
9|6|parfois
9|6|jamais
10|4|toujours
10|4|souvent
10|5|parfois
10|5|jamais
10|6|toujours
10|6|souvent
11|4|toujours
11|4|souvent
11|5|toujours
11|5|souvent
11|6|toujours
11|6|souvent
12|4|parfois
12|4|jamais
12|5|parfois
12|5|jamais
12|6|parfois
12|6|jamais
13|4|parfois
13|4|jamais
13|5|parfois
13|5|jamais
13|6|toujours
13|6|souvent
14|4|parfois
14|4|jamais
14|5|toujours
14|5|souvent
14|6|toujours
14|6|souvent
15|4|toujours
15|4|souvent
15|5|toujours
15|5|souvent
15|6|parfois
15|6|jamais
16|4|parfois
16|4|jamais
16|5|toujours
16|5|souvent
16|6|parfois
16|6|jamais
17|7|toujours
17|7|souvent
17|8|toujours
17|8|souvent
17|9|parfois
17|9|jamais
18|7|parfois
18|7|jamais
18|8|toujours
18|8|souvent
18|9|toujours
18|9|souvent
19|7|parfois
19|7|jamais
19|8|parfois
19|8|jamais
19|9|toujours
19|9|souvent
20|7|parfois
20|7|jamais
20|8|toujours
20|8|souvent
20|9|parfois
20|9|jamais
21|7|parfois
21|7|jamais
21|8|parfois
21|8|jamais
21|9|parfois
21|9|jamais
22|7|toujours
22|7|souvent
22|8|toujours
22|8|souvent
22|9|toujours
22|9|souvent
23|7|toujours
23|7|souvent
23|8|parfois
23|8|jamais
23|9|toujours
23|9|souvent
24|7|toujours
24|7|souvent
24|8|parfois
24|8|jamais
24|9|parfois
24|9|jamais
33|38|toujours
33|38|souvent
33|39|toujours
33|39|souvent
33|40|toujours
33|40|souvent
33|41|toujours
33|41|souvent
34|38|parfois
34|38|jamais
34|39|parfois
34|39|jamais
34|40|parfois
34|40|jamais
34|41|parfois
34|41|jamais
35|38|parfois
35|38|jamais
35|39|toujours
35|39|souvent
35|40|toujours
35|40|souvent
35|41|toujours
35|41|souvent
36|38|parfois
36|38|jamais
36|39|parfois
36|39|jamais
36|40|parfois
36|40|jamais
36|41|toujours
36|41|souvent
37|38|parfois
37|38|jamais
37|39|parfois
37|39|jamais
37|40|toujours
37|40|souvent
37|41|toujours
37|41|souvent
38|38|toujours
38|38|souvent
38|39|parfois
38|39|jamais
38|40|parfois
38|40|jamais
38|41|parfois
38|41|jamais
39|38|toujours
39|38|souvent
39|39|toujours
39|39|souvent
39|40|parfois
39|40|jamais
39|41|parfois
39|41|jamais
40|38|toujours
40|38|souvent
40|39|toujours
40|39|souvent
40|40|toujours
40|40|souvent
40|41|parfois
40|41|jamais
41|38|parfois
41|38|jamais
41|39|toujours
41|39|souvent
41|40|parfois
41|40|jamais
41|41|parfois
41|41|jamais
42|38|parfois
42|38|jamais
42|39|parfois
42|39|jamais
42|40|toujours
42|40|souvent
42|41|parfois
42|41|jamais
43|38|parfois
43|38|jamais
43|39|toujours
43|39|souvent
43|40|toujours
43|40|souvent
43|41|parfois
43|41|jamais
44|38|toujours
44|38|souvent
44|39|parfois
