nom|id_ressource
À déterminer|1
Alignement technopédagogique|2
Mains sur les touches|3
Quiz|4
Débat|4
Étude de cas|4
Tâche complexe|5
Situation d'apprentissage authentique|6
Apprentissage authentique|7
Apprentissage authentique|8
À déterminer|35
Régulation de l'enseignement|94
Régulation de l'enseignement|79
Régulation de l'enseignement|88
Engagement|144
Engagement|141
Bienséance en ligne|141
À déterminer|142
Évaluation|33
Évaluation|145
À déterminer|105
Évaluation|130
Moodle|137
ENA - Environnement numérique d'apprentissage|137
ENA - Environnement numérique d'apprentissage|139
ENA - Environnement numérique d'apprentissage|138
À déterminer|140
Classe inversée|55
Animation des séances|58
Teams|58
À déterminer|59
Problème technique|9
Problème technique|10
Problème technique|11
À déterminer|22
Potentiel technopédagogique|101
Outils TIC|101
À déterminer|12
À déterminer|13
À déterminer|14
À déterminer|15
À déterminer|16
À déterminer|17
À déterminer|18
À déterminer|19
À déterminer|20
À déterminer|21
À déterminer|23
À déterminer|24
À déterminer|25
À déterminer|26
À déterminer|27
À déterminer|28
À déterminer|29
À déterminer|30
À déterminer|31
À déterminer|32
À déterminer|34
À déterminer|36
À déterminer|37
À déterminer|38
À déterminer|39
À déterminer|40
À déterminer|41
À déterminer|43
À déterminer|44
À déterminer|45
À déterminer|46
À déterminer|47
À déterminer|48
À déterminer|49
À déterminer|50
À déterminer|51
À déterminer|52
À déterminer|53
À déterminer|54
À déterminer|56
À déterminer|57
À déterminer|60
À déterminer|61
À déterminer|62
À déterminer|63
À déterminer|64
À déterminer|65
À déterminer|66
À déterminer|67
À déterminer|68
À déterminer|69
À déterminer|70
À déterminer|71
À déterminer|73
À déterminer|74
À déterminer|75
À déterminer|76
À déterminer|77
À déterminer|78
À déterminer|80
À déterminer|81
À déterminer|82
À déterminer|83
À déterminer|85
À déterminer|86
À déterminer|87
À déterminer|89
À déterminer|90
À déterminer|91
À déterminer|92
À déterminer|93
À déterminer|95
À déterminer|96
À déterminer|97
À déterminer|98
À déterminer|99
À déterminer|100
À déterminer|102
À déterminer|103
À déterminer|104
À déterminer|106
À déterminer|107
À déterminer|109
À déterminer|110
À déterminer|111
À déterminer|112
À déterminer|113
À déterminer|114
À déterminer|115
À déterminer|116
À déterminer|117
À déterminer|118
À déterminer|119
À déterminer|120
À déterminer|121
À déterminer|122
À déterminer|123
À déterminer|124
À déterminer|125
À déterminer|126
À déterminer|127
À déterminer|128
À déterminer|129
À déterminer|131
À déterminer|132
À déterminer|133
À déterminer|134
À déterminer|135
À déterminer|136
À déterminer|143
