id_objectif|id_ressource
1|9
1|10
1|11
1|12
5|13
3|14
3|15
3|16
4|14
4|15
4|16
6|17
2|13
7|9
7|10
7|11
7|12
20|24
20|25
21|4
21|26
21|27
21|84
22|4
22|26
22|27
22|84
23|4
23|26
23|27
24|25
24|24
25|28
26|29
26|30
27|6
27|7
28|28
87|30
14|9
14|10
14|11
14|12
13|11
13|12
13|10
10|15
11|15
13|13
9|12
15|18
15|19
15|20
16|21
17|22
15|23
18|18
18|19
18|20
19|21
29|35
29|33
29|1
31|31
31|32
31|36
31|37
31|38
31|39
31|40
31|1
31|43
32|31
32|32
32|36
32|37
32|38
32|39
32|40
32|1
32|43
33|34
33|31
33|32
33|36
34|34
34|31
34|32
34|36
34|39
34|40
34|1
35|36
36|39
36|40
36|1
37|36
37|39
37|40
37|1
38|34
38|31
38|32
38|39
38|40
38|1
39|36
39|43
40|34
40|31
40|32
40|39
40|40
40|1
40|43
41|34
41|31
41|32
41|36
41|43
42|34
42|31
42|32
42|37
42|38
42|41
42|1
42|35
42|44
43|34
43|31
43|32
44|34
44|31
44|32
44|37
44|38
45|37
45|38
45|41
45|1
45|35
45|44
46|41
46|1
46|35
46|44
47|1
47|35
47|44
48|34
48|31
48|32
48|41
48|1
48|35
48|44
49|34
49|31
49|32
49|37
49|38
49|1
49|35
49|44
50|34
50|31
50|32
50|1
50|35
50|44
51|37
51|38
51|1
51|35
51|44
52|34
52|31
52|32
52|41
53|37
53|38
54|41
55|31
55|32
55|36
55|37
55|38
55|39
55|40
55|1
55|43
56|36
56|37
56|38
56|39
56|40
56|1
56|43
57|31
57|32
58|39
58|40
58|1
58|43
59|31
59|32
59|36
59|37
59|38
59|39
59|40
59|1
60|36
60|37
60|38
61|39
61|40
61|1
62|36
62|37
62|38
62|39
62|40
62|1
63|31
63|32
63|39
63|40
63|1
64|36
64|37
64|38
64|43
65|31
65|32
65|39
65|40
65|1
65|43
66|31
66|32
66|36
66|37
66|38
66|43
67|45
67|46
67|47
70|47
70|45
70|46
70|48
71|56
71|58
71|53
68|49
69|45
69|49
72|51
72|5
73|47
74|52
74|67
74|53
74|54
75|57
75|59
75|60
76|55
76|56
77|61
74|63
74|65
75|56
79|61
79|62
80|53
80|58
80|63
80|68
80|66
81|64
79|65
82|70
83|69
83|73
84|71
86|74
85|70
91|83
92|82
90|87
91|81
92|91
90|81
90|91
88|79
89|85
89|86
93|77
93|90
94|75
96|79
97|85
97|86
99|77
99|79
95|76
95|88
98|76
98|88
100|90
100|91
105|92
109|93
108|94
103|95
101|96
107|97
104|93
106|96
102|97
111|99
112|100
113|103
149|99
114|101
114|102
115|103
117|99
117|100
118|109
119|104
119|105
119|106
120|106
120|110
121|104
121|105
121|106
122|99
122|100
124|99
124|100
125|109
125|105
125|106
126|109
126|105
126|106
127|109
127|105
127|106
128|99
128|100
129|109
129|105
129|106
130|112
130|113
130|114
130|115
130|116
131|117
132|111
133|119
133|120
134|119
134|120
135|119
135|120
136|119
136|120
137|112
137|113
137|114
137|115
137|116
137|117
138|118
138|119
139|117
140|121
140|122
141|121
141|122
144|123
144|124
144|125
144|126
146|127
146|128
148|131
143|122
145|123
147|129
147|130
142|121
142|122
142|136
