id_ressource|code|titre|sous_titre|format|chemin|description|type_licence|temps_investi
1|ET.3|La roue pédagogique 2.0|À déterminer|Infographie|https://www.profnumeric.com/wp-content/uploads/2020/03/La-Roue-De-La-Pe%CC%81dagogie.png|Infographie des applications courantes de l'iPad associées au modèle SAMR, tout en faisant un lien avec la taxonomie de Bloom.|CC-BY-NC-SA|15 minutes et moins
2|ETP.11|Tableau des modalités d'évaluation intégrant les technologies|À déterminer|Aide-mémoire|À déterminer|Présentation d'un tableau synthèse des méthodes d'évaluation intégrant le numérique.|CC-BY-SA|20 à 45 minutes
3|ETP.19|Comment faire vivre un atelier « mains sur les touches »?|À déterminer|Capsule stratégique|À déterminer|Comment planifier, faire vivre et réinvestir un atelier « mains sur les touches » dans le but d’explorer des outils numériques.|CC-BY-NC-SA|15 minutes et moins
4|P.1|Portrait des méthodes pédagogiques actives et collaboratives|À déterminer|Infographie|https://view.genial.ly/5f33f38fca612f0d7f27cefe/horizontal-infographic-lists-methodes-pedagogiques-actives-et-collaboratives|Portrait des méthodes pédagogiques actives et collaboratives. |CC-BY-NC-SA|15 minutes et moins
5|P.10|La conception de mises en situation authentiques|À déterminer|Capsule stratégique|https://mobile.eduq.info/xmlui/bitstream/handle/11515/35762/liste-verification-tache-complexe-authentique-pcuc-2016.pdf?sequence=2&isAllowed=y|Capsules stratégiques pour présenter une démarche de conception de situation d’apprentissage authentique|Tous droits réservés|15 minutes et moins
6|P.5|Qu’est-ce qu’une méthode pédagogique authentique?|À déterminer|Capsule stratégique|À déterminer|Capsule stratégique pour décrire/présenter le concept de situation d’apprentissage authentique|CC-BY-NC-SA|15 minutes et moins
7|P.6|Valeur ajoutée d'une situation d'apprentissage|À déterminer|Capsule stratégique|À déterminer|Brève capsule pour mettre en lumière les avantages des situations authentiques|CC-BY-NC-SA|15 minutes et moins
8|P.7|Exemples de situations authentiques|À déterminer|Cas de figure / exemple|À déterminer|Des exemples de situations d'apprentissage authentique. Présentation sommaire de quelques cas de figure / exemples de situations authentiques vécues en éducation.|CC-BY-NC-SA|15 minutes et moins
9|T1.1|Tableau synthèse des problèmes techniques courants vécus par les personnes étudiantes dans le cadre d’activités pédagogiques synchrones|À déterminer|Aide-mémoire|À déterminer|Document préparatoire pour les séances synchrones|CC-BY-NC-SA|15 minutes et moins
10|T1.2|Démarche d’autodiagnostic à mettre en œuvre lorsque survient un problème technique lors d’une webconférence|À déterminer|Aide-mémoire|À déterminer|Cette démarche peut servir d’aide-mémoire pour les personnes formatrices et peut être remise aux personnes étudiantes|CC-BY-NC-SA|15 minutes et moins
