id_sous_questionnaire|id_questionnaire|code|description|niveau
1|1|T|1ER NIVEAU - COMPOSANTE TECHNOLOGIQUE |1
2|1|P|1ER NIVEAU - COMPOSANTE PÉDAGOGIQUE|1
3|1|ET|2E NIVEAU - COMPOSANTE ÉPISTÉMOLOGICO-TECHNOLOGIQUE|2
4|1|TD|2E NIVEAU - COMPOSANTE TECHNOLOGIE DISCIPLINAIRE|2
5|1|TP|2E NIVEAU - COMPOSANTE TECHNOPÉDAGOGIE|2
6|1|PD|2E NIVEAU - COMPOSANTE PÉDAGOGIE DISCIPLINAIRE|2
7|1|EP|2E NIVEAU - COMPOSANTE ÉPISTÉMOLOGIE PÉDAGOGIQUE|2
8|1|EPD|3E NIVEAU - COMPOSANTE ÉPISTÉMOLOGIE PÉDAGOGICO-DISCIPLINAIRE|3
9|1|ETP|3E NIVEAU - COMPOSANTE ÉPISTÉMOLOGIE TECHNO-PÉDAGOGIQUE|3
10|1|ETD|3E NIVEAU - COMPOSANTE ÉPISTÉMOLOGIE TECHNO-DISCIPLINAIRE|3
11|1|TPD|3E NIVEAU - COMPOSANTE TECHNO-PÉDAGOGIQUE DISCIPLINAIRE|3
